,playlist,names,ids,singers,singerids,albums,Language
107,唔係咁打嘅喜欢的音乐,50 Ways to Say Goodbye,21803760,Train,44343,California 37,en
108,唔係咁打嘅喜欢的音乐,Me and My Broken Heart,28308080,Push Baby,840899,Me and My Broken Heart,en
109,唔係咁打嘅喜欢的音乐,Summertrain,17996972,Greyson Chance,34327,Hold On ‘Til The Night,en
110,唔係咁打嘅喜欢的音乐,Summer Vibe,4433364,Walk off the Earth,105493,Summer Vibe,en
111,唔係咁打嘅喜欢的音乐,Wonderful U (Demo Version),406475394,AGA,768208,Ginadoll,en
112,唔係咁打嘅喜欢的音乐,Symphony,464674427,Zara Larsson,816461,So Good,en
113,唔係咁打嘅喜欢的音乐,Brother Louie,4175444,Modern Talking,96282,Das Nr. 1 Album,en
114,唔係咁打嘅喜欢的音乐,Nothing On You,5100769,B.o.B,129271,Essential R&B - Summer 2010,en
115,唔係咁打嘅喜欢的音乐,Marry You,25657282,Bruno Mars,178059,Doo-Wops & Hooligans,en
116,唔係咁打嘅喜欢的音乐,Just the Way You Are,5093684,Bruno Mars,178059,The Brit Awards Album 2011,en
117,唔係咁打嘅喜欢的音乐,Treasure,25657233,Bruno Mars,178059,Unorthodox Jukebox,en
118,唔係咁打嘅喜欢的音乐,That's What I Like,441120471,Bruno Mars,178059,24K Magic,en
119,唔係咁打嘅喜欢的音乐,for him.,37955044,Troye Sivan,45129,Blue Neighbourhood (Deluxe),en
120,唔係咁打嘅喜欢的音乐,Burn,28148942,Angelika Vee,904230,Nero Bianco - Best of Chill out 2013,en
121,唔係咁打嘅喜欢的音乐,This Is Me,5043468,Demi Lovato,53236,Camp Rock (Soundtrack),en
122,唔係咁打嘅喜欢的音乐,Counting Sheep,31081299,SAFIA,986155,Counting Sheep,en
123,唔係咁打嘅喜欢的音乐,Are You With Me,29806043,Lost Frequencies,1039114,Are You With Me,en
124,唔係咁打嘅喜欢的音乐,Break Up In A Small Town,29592100,Sam Hunt,942264,Montevallo,en
125,唔係咁打嘅喜欢的音乐,Smile,32341765,Dami Im,847171,Smile,en
126,唔係咁打嘅喜欢的音乐,Believer (Kaskade Remix),483156032,Imagine Dragons,94779,Believer (Kaskade Remix),en
127,唔係咁打嘅喜欢的音乐,Aloha Heja He,32337953,Achim Reichel,47097,Melancholie und Sturmflut (Bonus Tracks Edition),en
128,唔係咁打嘅喜欢的音乐,Moshi Moshi,509728841,Poppy,12441148,Poppy.Computer,en
129,唔係咁打嘅喜欢的音乐,Galway Girl,460043704,Ed Sheeran,33184,÷ (Deluxe),en
130,唔係咁打嘅喜欢的音乐,Edge Of The Night,485918020,Sheppard,200742,Edge Of The Night,en
131,唔係咁打嘅喜欢的音乐,We Will Rock You,1869271,Queen,41906,Queen Rocks,en
132,唔係咁打嘅喜欢的音乐,Look At Me Now,28188171,Charlie Puth,90331,Ego,en
133,唔係咁打嘅喜欢的音乐,Lone Ranger,29803676,Rachel Platten,74518,Fight Song,en
134,唔係咁打嘅喜欢的音乐,Lights Out (Go Crazy),17800819,Far East Movement,92526,Dirty Bass (Deluxe),en
135,唔係咁打嘅喜欢的音乐,This Girl (Kungs Vs. Cookin' On 3 Burners),404276447,Kungs,1135041,This Girl (Kungs Vs. Cookin' On 3 Burners),en
136,唔係咁打嘅喜欢的音乐,Be With You,31578675,Leslie Clio,783590,Eureka,en
137,唔係咁打嘅喜欢的音乐,Ferrari,550936829,Bebe Rexha,336466,Expectations,en
138,唔係咁打嘅喜欢的音乐,Better Than A Hallelujah,22450237,Amy Grant,46678,Premiere Performance Plus: Better Than A Hallelujah,en
139,唔係咁打嘅喜欢的音乐,I Hate Myself for Loving You,4132379,Joan Jett & the Blackhearts,94968,Greatest Hits,en
140,唔係咁打嘅喜欢的音乐,Valder Fields,2001320,Tamas Wells,44262,A Plea en Vendredi,en
141,唔係咁打嘅喜欢的音乐,Ice Cream,5145728,DnR,226558,Strawberry Love,en
142,唔係咁打嘅喜欢的音乐,Fever,26685247,Cascada,50900,Hitzone 52,en
143,唔係咁打嘅喜欢的音乐,Escape,29593193,Megan Nicole,69097,Escape,en
144,唔係咁打嘅喜欢的音乐,GQ,410654865,Lola Coca,12040030,GQ,en
145,唔係咁打嘅喜欢的音乐,Legend,471411253,The Score,212904,Myths & Legends,en
146,唔係咁打嘅喜欢的音乐,Stay,461518855,Zedd,46376,Stay,en
147,唔係咁打嘅喜欢的音乐,Take Me Home Country Roads,1477670,John Denver,35341,Take Me Home: The John Denver Story,en
148,唔係咁打嘅喜欢的音乐,Ain't No Mountain High Enough,28876118,Marvin Gaye,38866,Guardians of the Galaxy: Awesome Mix Vol. 1,en
149,唔係咁打嘅喜欢的音乐,Be Mine,442979301,Ofenbach,1137428,Be Mine,en
150,唔係咁打嘅喜欢的音乐,The Party Troll,38358820,D1ofaquavibe,1058211,The Party Troll,en
151,唔係咁打嘅喜欢的音乐,Typical Me,34248355,Ella Eyre,860517,Feline,en
152,唔係咁打嘅喜欢的音乐,Still the One,427416524,Ingrid Michaelson,60351,It Doesn't Have To Make Sense,en
153,唔係咁打嘅喜欢的音乐,Bailemen Swing,30148832,The Shanghai Restoration Project,31286,Mungbean Mash,en
154,唔係咁打嘅喜欢的音乐,Runaway Baby,25657277,Bruno Mars,178059,Doo-Wops & Hooligans,en
155,唔係咁打嘅喜欢的音乐,Rollercoaster,419116144,Dolly Style,1057284,Melodifestivalen 2016,en
156,唔係咁打嘅喜欢的音乐,Way Back,543987451,Vicetone,747030,Way Back,en
157,唔係咁打嘅喜欢的音乐,Hold On (feat. Cheat Codes) [Radio Edit],34749984,Moguai,67465,Hold On (feat. Cheat Codes),en
158,唔係咁打嘅喜欢的音乐,Driving Home for Christmas,440310367,Campsite Dream,1146068,Driving Home for Christmas,en
159,唔係咁打嘅喜欢的音乐,Summer Vibe (Pegato Remix),33522489,Pegato,1115041, Summer Vibe (Pegato Remix),en
160,唔係咁打嘅喜欢的音乐,Hope,1333199956,The Chainsmokers,893484,Sick Boy,en
161,唔係咁打嘅喜欢的音乐,Final Song (OutaMatic Remix),427614378,OutaMatic,1181741, Final Song (OutaMatic Remix),en
162,唔係咁打嘅喜欢的音乐,Just For One Night,484365596,Blonde,584202,Just For One Night,en
163,唔係咁打嘅喜欢的音乐,Love with Your Life,422463316,Hollyn,12080054,Love with Your Life,en
164,唔係咁打嘅喜欢的音乐,Eenie Meenie,18638050,Justin Bieber,35531,My Worlds,en
165,唔係咁打嘅喜欢的音乐,Shivers,515601126,Rachel Platten,74518,Waves,en
166,唔係咁打嘅喜欢的音乐,Wild,441491410,Monogem,1078007,Wild,en
167,唔係咁打嘅喜欢的音乐,Reminding Me,472219602,Shawn Hook,44247,Reminding Me,en
168,唔係咁打嘅喜欢的音乐,Solo Dance,439076364,Martin Jensen,1060055,Solo Dance,en
169,唔係咁打嘅喜欢的音乐,Best Day Of My Life,27646851,American Authors,762135,American Authors,en
170,唔係咁打嘅喜欢的音乐,Don't,28665554,Ed Sheeran,33184,x (Deluxe Edition),en
171,唔係咁打嘅喜欢的音乐,Set Me Free,33035837,Diplo,31645,Set Me Free,en
172,唔係咁打嘅喜欢的音乐,Strip That Down,479223621,Liam Payne,12073104,Strip That Down,en
173,唔係咁打嘅喜欢的音乐,New Man,460043706,Ed Sheeran,33184,÷ (Deluxe),en
174,唔係咁打嘅喜欢的音乐,One Last Time,28977745,Ariana Grande,48161,My Everything (Deluxe Version),en
175,唔係咁打嘅喜欢的音乐,Sucker for You,520525412,Matt Terry,12214141,Trouble,en
176,唔係咁打嘅喜欢的音乐,Unstoppable,400876320,Sia,74625,This Is Acting,en
177,唔係咁打嘅喜欢的音乐,Run Free (feat. IVIE),500410102,Deep Chills,1063083,Run Free (feat. IVIE),en
178,唔係咁打嘅喜欢的音乐,Remember The Name (feat. Styles Of Beyond),1345018,Fort Minor,33358,The Rising Tied,en
179,唔係咁打嘅喜欢的音乐,Everything I Need,1331322055,Skylar Grey,74801,Aquaman (Original Motion Picture Soundtrack),en
180,唔係咁打嘅喜欢的音乐,Like I Would (Tom Budin Remix),409647737,Tom Budin,797014,Like I Would (Tom Budin Remix),en
181,唔係咁打嘅喜欢的音乐,Ho Ho Ho,518894597,Sia,74625,Everyday Is Christmas,en
182,唔係咁打嘅喜欢的音乐,Bikini Body,424155394,Dawin,1046081,Sunday,en
183,唔係咁打嘅喜欢的音乐,Ain't My Fault (R3hab Remix),433018366,Zara Larsson,816461,Aint My Fault (R3hab Remix),en
184,唔係咁打嘅喜欢的音乐,Scared To Be Lonely,456175020,Martin Garrix,780003,Scared To Be Lonely,en
185,唔係咁打嘅喜欢的音乐,Mr Johnson,36496655,Jain,1081794,Zanaka,en
186,唔係咁打嘅喜欢的音乐,Do It,27845048,The Bosshoss,103603,Flames Of Fame,en
187,唔係咁打嘅喜欢的音乐,Catch My Breath,26613394,Kelly Clarkson,62885,Remixes Big Deluxe,en
188,唔係咁打嘅喜欢的音乐,Future Funk,27639209,Varien,205718,Pick Your Poison Vol. 01,en
189,唔係咁打嘅喜欢的音乐,Starship,5065581,Nicki Minaj,70183,NRJ Summer Hits Only 2012,en
190,唔係咁打嘅喜欢的音乐,Way Back Home,863046037,SHAUN,1150188,Take,en
191,唔係咁打嘅喜欢的音乐,Changing [Goldsmyth Edition],29378196,Sigma,101736,Changing [Goldsmyth Edition],en
192,唔係咁打嘅喜欢的音乐,Steady Me (feat. Aaron Cole),507795651,Hollyn,12080054,Hollyn,en
193,唔係咁打嘅喜欢的音乐,Telescope,522444650,Tim Legend,12006158,Telescope,en
194,唔係咁打嘅喜欢的音乐,Won't Back Down (Boehm Remix),32046367,Boehm,805212,Won't Back Down (Boehm Remix),en
195,唔係咁打嘅喜欢的音乐,New Soul,19711382,Vox Angeli,83520,Irlande,en
196,唔係咁打嘅喜欢的音乐,Whatever It Takes (Miss Congeniality Remix),519342279,Imagine Dragons,94779,Whatever It Takes (Miss Congeniality Remix),en
197,唔係咁打嘅喜欢的音乐,Hello Summer (Radio Edit),424477211,Rameez,386580,Hello Summer (Radio Edit),en
198,唔係咁打嘅喜欢的音乐,Rooftops (feat. Tedashii),407459600,JJ Weeks Band,12007242,As Long as We Can Breathe,en
199,唔係咁打嘅喜欢的音乐,I Stay In Love,21233924,Mariah Carey,66355,E=MC2,en
200,唔係咁打嘅喜欢的音乐,Bye Bye,21233933,Mariah Carey,66355,E=MC2,en
201,唔係咁打嘅喜欢的音乐,Happy,26548584,Pharrell Williams,41151,Despicable Me 2 (Original Motion Picture Soundtrack),en
202,唔係咁打嘅喜欢的音乐,Attention,473817398,Charlie Puth,90331,Voicenotes,en
203,唔係咁打嘅喜欢的音乐,Your Name (The Ukulele Song),28188175,Charlie Puth,90331,Ego,en
204,唔係咁打嘅喜欢的音乐,Lil Mama,36492681,Jain,1081794,Zanaka,en
205,唔係咁打嘅喜欢的音乐,Let Her Go,18161816,Passenger,70840,All The Little Lights,en
206,唔係咁打嘅喜欢的音乐,Count on Me,25714146,Connie Talbot,50898,Beautiful World,en
207,唔係咁打嘅喜欢的音乐,I'm Yours,18611643,Jason Mraz,35332,I'm Yours,en
208,唔係咁打嘅喜欢的音乐,Better Than One,31446780,The Score,212904,The Score EP 2,en
209,唔係咁打嘅喜欢的音乐,Young Man,533943364,Justin Timberlake,35331,Man of the Woods,en
210,唔係咁打嘅喜欢的音乐,Y.M.C.A.,27491508,Village People,83529,Het Beste Uit De Top 500 Van Het Foute Uur Editie 2013,en
211,唔係咁打嘅喜欢的音乐,Sway,556053856,Tove Styrke,83188,Sway,en
212,唔係咁打嘅喜欢的音乐,Told You So,28310694,Christopher,30270,Told You So,en
213,唔係咁打嘅喜欢的音乐,Thrift Shop,25677802,Macklemore & Ryan Lewis,185545,Thrift Shop,en
214,唔係咁打嘅喜欢的音乐,Time (Official),33035611,MKJ,469200,Time After Time,en
215,唔係咁打嘅喜欢的音乐,The Saltwater Room,1807865,Owl City,40859,Hot Air Balloon-single,en
216,唔係咁打嘅喜欢的音乐,Lifted,469104847,Allie X,973030,CollXtion II,en
217,唔係咁打嘅喜欢的音乐,Demons,19945735,Imagine Dragons,94779,Night Visions (Deluxe),en
218,唔係咁打嘅喜欢的音乐,YOUTH,36668810,Troye Sivan,45129,Blue Neighbourhood (Deluxe),en
219,唔係咁打嘅喜欢的音乐,Fuerteventura,18680851,Russian Red,72726,Fuerteventura,en
220,唔係咁打嘅喜欢的音乐,All I Wanna Do,409181575,Martin Jensen,1060055,All I Wanna Do,en
221,唔係咁打嘅喜欢的音乐,All The Others,31967275,The Coronas,102594,The Long Way,en
222,唔係咁打嘅喜欢的音乐,Go Girl,1822699,Pitbull,41143,Go Girl,en
223,唔係咁打嘅喜欢的音乐,My Personal Song,27845051,The Bosshoss,103603,Flames Of Fame,en
224,唔係咁打嘅喜欢的音乐,Vision,32431822,Elektronomia,1081540,Vision,en
225,唔係咁打嘅喜欢的音乐,Wisdom,4344799,The Guggenheim Grotto,102059,The Universe Is Laughing,en
226,唔係咁打嘅喜欢的音乐,Despacito,452613551,Luis Fonsi,38154,Despacito,en
227,唔係咁打嘅喜欢的音乐,Zillionaire,423343022,Flo Rida,56783,Zillionaire,en
228,唔係咁打嘅喜欢的音乐,Superheroes,28832241,The Script,102028,Superheroes,en
229,唔係咁打嘅喜欢的音乐,Don't Look Down,31010675,Martin Garrix,780003,Don't Look Down,en
230,唔係咁打嘅喜欢的音乐,Sorry,18843242,Jonas Brothers,94966,A Little Bit Longer,en
231,唔係咁打嘅喜欢的音乐,I Like It Heavy,31426427,Halestorm,60221,Into the Wild Life (Deluxe),en
232,唔係咁打嘅喜欢的音乐,What Do I Know?,460043708,Ed Sheeran,33184,÷ (Deluxe),en
233,唔係咁打嘅喜欢的音乐,The Warrior Song,1992968,Sean Household,43821,The Warrior Song,en
234,唔係咁打嘅喜欢的音乐,Try Everything,405485737,Shakira,74623,Zootopia (Original Motion Picture Soundtrack),en
235,唔係咁打嘅喜欢的音乐,Carry You,26391022,Union J,763059,Carry You,en
236,唔係咁打嘅喜欢的音乐,The Catalyst,16686426,Linkin Park,95439,A Thousand Suns,en
237,唔係咁打嘅喜欢的音乐,Radioactive,19945726,Imagine Dragons,94779,Continued Silence EP,en
238,唔係咁打嘅喜欢的音乐,River,440317256,Charlie Puth,90331,Nine Track Mind (Deluxe Edition),en
239,唔係咁打嘅喜欢的音乐,Andas En Mi Cabeza,404276349,Chino y Nacho,90213,Andas En Mi Cabeza,en
240,唔係咁打嘅喜欢的音乐,Por Una Cabeza,2007819,Thomas Newman,44287,Scent Of A Woman,en
241,唔係咁打嘅喜欢的音乐,Danza Kuduro,24051365,Don Omar,31587,Fast and Furious 5 - Rio Heist,en
242,唔係咁打嘅喜欢的音乐,Noviembre sin ti (Album Version),18538630,Reik,41963,Reik,en
243,唔係咁打嘅喜欢的音乐,Sin Contrato,36921965,Maluma,1049649,Sin Contrato,en
244,唔係咁打嘅喜欢的音乐,Jueves,16680898,La Oreja de Van Gogh,95455,A las Cinco en el Astoria,en
245,唔係咁打嘅喜欢的音乐,Stay Here Forever,18836961,Jewel,60923,Sweet And Wild,en
246,唔係咁打嘅喜欢的音乐,We Can't Stop,29480187,Boyce Avenue,29709,"Cover Sessions, Vol. 3",en
247,唔係咁打嘅喜欢的音乐,El Amante,454053869,Nicky Jam,69608,Fénix,en
248,唔係咁打嘅喜欢的音乐,Chantaje,437802151,Shakira,74623,Chantaje,en
249,唔係咁打嘅喜欢的音乐,Hips Don't Lie,3406580,Shakira,74623,Greatest Hits,en
250,唔係咁打嘅喜欢的音乐,Little Queenie,499384058,Chuck Berry,29985,The Hitman's Bodyguard (Original Motion Picture Soundtrack),en
251,唔係咁打嘅喜欢的音乐,Revolution,471411255,The Score,212904,Myths & Legends,en
252,唔係咁打嘅喜欢的音乐,Five Hundred Miles,27759600,Justin Timberlake,35331,Inside Llewyn Davis: Original Soundtrack Recording,en
253,唔係咁打嘅喜欢的音乐,Everywhere I Go,18292651,Hollywood Undead,93780,Swan Songs,en
254,唔係咁打嘅喜欢的音乐,You Can't Have Me,20376239,The Headpins,81092,Turn It Loud,en
255,唔係咁打嘅喜欢的音乐,Won't Go Home Without You,21253900,Maroon 5,96266,It Won't Be Soon Before Long,en
256,唔係咁打嘅喜欢的音乐,Sold Out,31010566,Hawk Nelson,34518,Diamonds,en
